index,name,platform,publisher,developer,cscore,uscore,date,genre
0,The Legend of Zelda: Ocarina of Time,Nintendo64,Not specified,Nintendo,9.9,9.1,1998,"Action, Adventure, Fantasy"
1,Tony Hawks Pro Skater 2,PlayStation,Not specified,NeversoftEntertainment,9.8,7.4,2000,"Sports, Alternative, Skateboarding"
2,Grand Theft Auto IV,PlayStation3,Not specified,RockstarNorth,9.8,7.6,2008,"Action, Adventure, Modern, Modern, Open-World"
3,SoulCalibur,Dreamcast,Not specified,Namco,9.8,8.5,1999,"Action, Fighting, 3D"
4,Grand Theft Auto IV,Xbox360,Not specified,RockstarNorth,9.8,7.9,2008,"Action, Adventure, Modern, Modern, Open-World"
5,Super Mario Galaxy,Wii,Not specified,Nintendo,9.7,9.0,2007,"Action, Platformer, Platformer, 3D, 3D"
6,Super Mario Galaxy 2,Wii,Not specified,NintendoEADTokyo,9.7,9.1,2010,"Action, Platformer, Platformer, 3D, 3D"
7,Red Dead Redemption 2,XboxOne,Not specified,RockstarGames,9.7,7.8,2018,"Action, Adventure, Open-World"
8,Grand Theft Auto V,XboxOne,Not specified,RockstarNorth,9.7,7.8,2014,"Action, Adventure, Modern, Open-World"
9,Grand Theft Auto V,PlayStation3,Not specified,RockstarNorth,9.7,8.3,2013,"Modern, Action, Adventure, Modern, Open-World"
10,Grand Theft Auto V,Xbox360,Not specified,RockstarNorth,9.7,8.3,2013,"Modern, Action, Adventure, Modern, Open-World"
11,Tony Hawks Pro Skater 2,Dreamcast,Not specified,Treyarch,9.7,6.2,2000,"Sports, Alternative, Skateboarding"
12,The Legend of Zelda: Breath of the Wild,Switch,Not specified,Nintendo,9.7,8.6,2017,"Action, Adventure, Open-World"
13,Tony Hawks Pro Skater 3,PlayStation2,Not specified,NeversoftEntertainment,9.7,7.6,2001,"Sports, Alternative, Skateboarding"
14,Perfect Dark,Nintendo64,Not specified,RareLtd.,9.7,8.9,2000,"Action, Shooter, First-Person, Sci-Fi"
15,Red Dead Redemption 2,PlayStation4,Not specified,RockstarGames,9.7,8.4,2018,"Action, Adventure, Open-World"
16,Grand Theft Auto V,PlayStation4,Not specified,RockstarNorth,9.7,8.4,2014,"Action, Adventure, Modern, Open-World"
17,Metroid Prime,GameCube,Not specified,RetroStudios,9.7,9.2,2002,"Action, Shooter, First-Person, Sci-Fi"
18,Grand Theft Auto III,PlayStation2,Not specified,DMADesign,9.7,8.4,2001,"Action, Adventure, Modern"
19,Super Mario Odyssey,Switch,Not specified,Nintendo,9.7,8.9,2017,"Action, Platformer, 3D"
